Romanji,English
BEASTARS FINAL SEASON Part 2,BEASTARS Final Season Part 2
Enen no Shouboutai: San no Shou Part 2,Fire Force Season 3 Part 2
Jigokuraku 2nd Season,Hell’s Paradise Season 2
Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen,Butt Attack Punisher Girl Gautaman
Collar×Malice: deep cover,Collar×Malice: deep cover
Chou Kaguya-hime!,Cosmic Princess Kaguya!
Bakeneko Anzu-chan,GHOST CAT ANZU
Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity
Zenshuu.,ZENSHU
ReLIFE,ReLIFE
ReLIFE: Kanketsu-hen,ReLIFE: Final Arc
Sora yori mo Tooi Basho,A Place Further Than the Universe
